MCH.Merchant Name,FIN.Transaction Amount,FIN.Transaction Date
BANK SUPPLIES INC.,139.01,6/3/2010
PIEDMONT PLASTICS GP 2,873.29,6/3/2010
STADIUM HARDWARE,12.98,6/3/2010
MARCO'S PIZZA #1056,73.53,6/3/2010
NAPA AUTO PARTS,-61.86,6/3/2010
PEOPLE'S FOOD COOP,9.98,6/3/2010
STADIUM HARDWARE,51.96,6/4/2010
BOSTON PARK PLAZA HOTE,793.14,6/4/2010
LOWES #01750*,30.56,6/4/2010
ZINGERMANSCOFFEECOWHSL,61.25,6/4/2010
ACE BARNES HARDWARE IN,11.47,6/4/2010
ANDERSON PAINT COMPANY,157.24,6/4/2010
CARPENTER BROS HAR,23.96,6/4/2010
CARPENTER BROS HAR,54.75,6/4/2010
NAPA AUTO PARTS,83.98,6/4/2010
ANDERSON PAINT COMPANY,99.63,6/4/2010
SPARTAN DISTRIBUTORS,69.63,6/4/2010
DIUBLE EQUIPMENT INC,22.39,6/4/2010
THE HOME DEPOT 2721,13.37,6/4/2010
VOGEL'S LOCK & SAFE,4.5,6/4/2010
GRAND HOTEL,610.35,6/4/2010
CARPENTER BROS HAR,27.47,6/4/2010
TARGET 00006346,12.98,6/5/2010
APL*APPLEONLINESTOREUS,73.14,6/5/2010
APL*APPLEONLINESTOREUS,146.28,6/5/2010
APL*APPLEONLINESTOREUS,30.74,6/5/2010
APL*APPLEONLINESTOREUS,61.48,6/5/2010
ACE BARNES HARDWARE,22.99,6/6/2010
BIG BOYS OF MILAN QPS,79.39,6/6/2010
HP PRODUCT SVC&RPR,73.14,6/6/2010
JCPENNEY CATLG 9814,-39.94,6/7/2010
TURFGRASS INC,310.89,6/7/2010
TURFGRASS INC,125,6/7/2010
STAPLES 00115642,41.96,6/7/2010
KROGER #605 Q66,92.08,6/7/2010
VOGEL'S LOCK & SAFE,32.75,6/7/2010
ZINGERMAN'S BAKEHOUSE,133.4,6/7/2010
BENDING BRANCHES/AQUA-,258.53,6/7/2010
LOWES #00734*,24.12,6/7/2010
